Epoch time,Latitude,Longitude,Radiation(cps)
1682122639.2150664,37.875191,-122.258465,35.2
1682122646.0433326,37.875159,-122.258435,42.4
1682122652.823951,37.87514,-122.258453,34.6
1682122659.664755,37.87503,-122.258681,38.8
1682122666.4135644,37.875016,-122.258786,34.4
1682122673.5178883,37.874985,-122.258825,39.8
1682122680.3519752,37.8749,-122.25895,36.6
1682122687.1416473,37.874811,-122.258956,34.0
1682122694.041891,37.874634,-122.258846,36.8
1682122700.8422132,37.874611,-122.258831,41.2
1682122707.8362427,37.874516,-122.258835,39.8
1682122714.6910782,37.874331,-122.25876,32.0
1682122721.4464679,37.874315,-122.258775,31.4
1682122728.5367408,37.874238,-122.258763,29.8
1682122735.5147598,37.874088,-122.258748,39.4
1682122742.3335104,37.874021,-122.258693,38.2
1682122749.3386788,37.87392,-122.258558,34.4
1682122756.2450547,37.873891,-122.258436,35.4
1682122763.1902206,37.873893,-122.258365,43.2
1682122770.0412712,37.873888,-122.258336,41.0
1682122777.092472,37.873881,-122.258318,35.2
1682122783.9398882,37.873845,-122.258276,39.8
1682122790.9211214,37.873799,-122.258285,47.0
1682122797.8089218,37.87374,-122.258165,38.2
1682122804.6836343,37.873613,-122.258034,38.4
1682122811.5670943,37.873543,-122.258018,43.6
1682122818.5239532,37.873503,-122.258025,42.8
1682122825.7300413,37.873275,-122.258101,38.2
1682122832.6769598,37.873213,-122.258153,45.2
1682122839.5883963,37.873178,-122.258188,38.0
1682122846.6041446,37.87315,-122.25821,46.8
1682122853.5035243,37.873139,-122.258276,41.6
1682122860.424914,37.873066,-122.258443,38.6
1682122867.3133101,37.873065,-122.2585,41.6
1682122874.5078478,37.873048,-122.258535,39.0
1682122881.5106785,37.873068,-122.258571,39.2
1682122888.3941026,37.873033,-122.258626,31.2
1682122895.3032093,37.872885,-122.25873,43.2
1682122902.3562849,37.872826,-122.258693,40.6
1682122909.3118227,37.872761,-122.258693,35.2
1682122916.2596173,37.872655,-122.258685,40.4
1682122923.3815193,37.872615,-122.258638,40.8
1682122930.4872994,37.872445,-122.258575,41.0
1682122937.4909055,37.872365,-122.258518,39.0
1682122944.4252985,37.87227,-122.258483,44.8
1682122951.4053802,37.872136,-122.258428,37.0
1682122958.3593955,37.8721,-122.258436,39.8
1682122965.4253128,37.872018,-122.25838,37.6
1682122972.646039,37.871948,-122.258363,35.2
1682122979.6707354,37.871901,-122.258326,34.8
1682122986.668209,37.871761,-122.258308,38.2
1682122993.6592484,37.871701,-122.258303,38.2
1682123000.6303158,37.871573,-122.258286,39.0
1682123007.641715,37.871476,-122.258296,39.0
1682123014.615359,37.871425,-122.258338,38.0
1682123021.9496455,37.871283,-122.258311,46.6
1682123028.900851,37.871211,-122.258349,37.8
1682123035.9251058,37.871124,-122.258475,39.8
1682123042.9405065,37.871051,-122.258573,43.0
1682123050.1815667,37.870968,-122.258518,45.6
1682123057.1555696,37.870948,-122.258426,48.0
1682123064.128677,37.870915,-122.258384,34.4
1682123071.4665027,37.87076,-122.258486,29.4
1682123078.576403,37.870688,-122.258476,33.2
1682123085.687724,37.870528,-122.258308,35.4
1682123092.7716389,37.870458,-122.258186,27.6
1682123099.826229,37.87038,-122.258138,42.0
1682123106.853397,37.870208,-122.25789,46.4
1682123114.2278225,37.870248,-122.258028,37.2
1682123121.351024,37.870266,-122.258113,41.4
1682123128.4992914,37.870306,-122.258098,46.8
1682123135.5562506,37.870301,-122.258113,40.8
1682123142.681876,37.870301,-122.258113,44.4
1682123149.8769627,37.870301,-122.258113,41.0
1682123156.9935956,37.870301,-122.258113,43.0
1682123164.3926115,37.870301,-122.258113,39.6
1682123171.4802365,37.870301,-122.258113,41.4
1682123178.6571121,37.870301,-122.258113,46.2
1682123185.8505564,37.870301,-122.258113,44.6
1682123192.9542162,37.870301,-122.258113,50.8
1682123200.092273,37.870301,-122.258113,35.2
1682123207.4740722,37.870301,-122.258113,42.8
1682123214.5735724,37.870301,-122.258113,42.8
1682123221.6579118,37.870301,-122.258113,41.2
1682123228.864216,37.870301,-122.258113,41.8
1682123236.0711458,37.870301,-122.258113,38.0
1682123243.2045422,37.870301,-122.258113,39.0
1682123250.3059828,37.870301,-122.258113,43.4
1682123257.817032,37.870301,-122.258113,44.4
1682123265.0010781,37.870301,-122.258113,39.0
1682123272.1742628,37.870301,-122.258113,39.8
1682123279.28637,37.870301,-122.258113,42.2
1682123286.5773776,37.870301,-122.258113,45.4
1682123293.8249767,37.870301,-122.258113,41.8
1682123301.232898,37.870301,-122.258113,37.2
1682123308.5788167,37.870301,-122.258113,46.4
1682123315.8388371,37.870301,-122.258113,41.4
1682123323.0908225,37.870301,-122.258113,45.2
1682123330.2958877,37.870301,-122.258113,44.0
1682123337.5991118,37.870301,-122.258113,47.0
1682123345.0554256,37.870301,-122.258113,40.2
1682123352.2323115,37.870301,-122.258113,42.0
1682123359.4984148,37.870301,-122.258113,47.6
1682123366.77775,37.870301,-122.258113,43.8
1682123374.015914,37.870301,-122.258113,34.4
1682123381.3187585,37.870301,-122.258113,39.6
1682123388.8450632,37.870301,-122.258113,40.0
1682123396.075516,37.870301,-122.258113,42.2
1682123403.2836661,37.870301,-122.258113,40.4
1682123410.6527767,37.870301,-122.258113,41.4
1682123418.0707276,37.870301,-122.258113,41.2
1682123425.2653108,37.870301,-122.258113,39.8
1682123432.751124,37.870301,-122.258113,40.6
1682123440.112709,37.870301,-122.258113,39.8
1682123447.357638,37.870301,-122.258113,34.2
1682123454.645899,37.870301,-122.258113,42.8
1682123462.0600514,37.870301,-122.258113,37.2
1682123469.2664602,37.870301,-122.258113,39.4
1682123476.8052545,37.870301,-122.258113,45.2
1682123484.1231713,37.870301,-122.258113,42.2
1682123491.4320898,37.870301,-122.258113,47.6
1682123498.6953773,37.870301,-122.258113,35.8
1682123506.1258967,37.870301,-122.258113,44.0
1682123513.6196103,37.870301,-122.258113,39.2
1682123521.0705204,37.870301,-122.258113,42.4
1682123528.4208689,37.870301,-122.258113,45.6
1682123535.82119,37.870301,-122.258113,37.4
1682123543.096856,37.870301,-122.258113,44.6
1682123550.3781815,37.870301,-122.258113,41.0
1682123557.779673,37.870301,-122.258113,41.8
1682123565.3311071,37.870301,-122.258113,41.0
1682123572.6845422,37.870301,-122.258113,36.6
1682123580.2891567,37.870301,-122.258113,43.8
1682123587.6217265,37.870301,-122.258113,40.2
1682123594.9837267,37.870301,-122.258113,43.2
1682123602.4713163,37.870301,-122.258113,42.0
1682123610.0595284,37.870301,-122.258113,43.0
1682123617.3998492,37.870301,-122.258113,40.4
1682123624.8382096,37.870301,-122.258113,43.0
1682123632.2279315,37.870301,-122.258113,36.4
1682123639.5643194,37.870301,-122.258113,41.2
1682123646.9451933,37.870301,-122.258113,44.0
1682123654.7126374,37.870301,-122.258113,48.4
1682123662.0281968,37.870301,-122.258113,45.0
1682123669.4881313,37.870301,-122.258113,43.8
1682123676.9207926,37.870301,-122.258113,46.8
1682123684.2474992,37.870301,-122.258113,37.2
1682123691.5934677,37.870301,-122.258113,40.0
1682123699.24591,37.870301,-122.258113,45.0
1682123706.6115246,37.870301,-122.258113,44.2
1682123714.0382805,37.870301,-122.258113,39.6
1682123721.8540814,37.870301,-122.258113,36.2
1682123729.2104847,37.870301,-122.258113,36.8
1682123736.8931012,37.870301,-122.258113,41.0
1682123744.319821,37.870301,-122.258113,40.6
1682123751.754245,37.870301,-122.258113,41.2
1682123759.339889,37.870301,-122.258113,44.8
1682123766.7987196,37.870301,-122.258113,48.8
1682123774.1709466,37.870301,-122.258113,39.6
1682123781.9651287,37.870301,-122.258113,42.6
1682123789.542263,37.870301,-122.258113,48.8
1682123796.985804,37.870301,-122.258113,41.6
1682123804.4760795,37.870301,-122.258113,40.6
